"Index","MDAXI.Close"
"2010-01-04",7676.649902
"2010-01-05",7745.430176
"2010-01-06",7784.410156
"2010-01-07",7839.069824
"2010-01-08",7903.439941
"2010-01-11",7919.970215
"2010-01-12",7781.52002
"2010-01-13",7856.009766
"2010-01-14",7945.22998
"2010-01-15",7846.540039
"2010-01-18",7899.209961
"2010-01-19",7889.910156
"2010-01-20",7750.299805
"2010-01-21",7647.540039
"2010-01-22",7539.330078
"2010-01-25",7548.97998
"2010-01-26",7557
"2010-01-27",7479.509766
"2010-01-28",7406.040039
"2010-01-29",7505.319824
"2010-02-01",7578.589844
"2010-02-02",7710.939941
"2010-02-03",7675.680176
"2010-02-04",7458.379883
"2010-02-05",7243.129883
"2010-02-08",7246.149902
"2010-02-09",7289.160156
"2010-02-10",7353.22998
"2010-02-11",7344.660156
"2010-02-12",7293.140137
"2010-02-15",7299.910156
"2010-02-16",7386.490234
"2010-02-17",7531
"2010-02-18",7599.459961
"2010-02-19",7597.390137
"2010-02-22",7570.640137
"2010-02-23",7480.129883
"2010-02-24",7396.950195
"2010-02-25",7246.819824
"2010-02-26",7393.259766
"2010-03-01",7543.850098
"2010-03-02",7651.830078
"2010-03-03",7708.540039
"2010-03-04",7739.549805
"2010-03-05",7853.089844
"2010-03-08",7844.879883
"2010-03-09",7826.629883
"2010-03-10",7926.490234
"2010-03-11",7903.339844
"2010-03-12",7926.299805
"2010-03-15",7851.359863
"2010-03-16",7930.830078
"2010-03-17",8016.02002
"2010-03-18",7987.220215
"2010-03-19",7961.459961
"2010-03-22",7975.870117
"2010-03-23",8034.200195
"2010-03-24",8064.52002
"2010-03-25",8171.220215
"2010-03-26",8162.589844
"2010-03-29",8190.890137
"2010-03-30",8140.75
"2010-03-31",8143.459961
"2010-04-01",8305.429688
"2010-04-06",8380.200195
"2010-04-07",8367.009766
"2010-04-08",8255.330078
"2010-04-09",8400.839844
"2010-04-12",8374.360352
"2010-04-13",8326.879883
"2010-04-14",8457.519531
"2010-04-15",8495.040039
"2010-04-16",8391.919922
"2010-04-19",8308.240234
"2010-04-20",8486.120117
"2010-04-21",8480.419922
"2010-04-22",8332.700195
"2010-04-23",8540.660156
"2010-04-26",8641.730469
"2010-04-27",8343.05957
"2010-04-28",8218.730469
"2010-04-29",8420.530273
"2010-04-30",8359.150391
"2010-05-03",8432.55957
"2010-05-04",8148.490234
"2010-05-05",7985.080078
"2010-05-06",7890.850098
"2010-05-07",7636.77002
"2010-05-10",8169.779785
"2010-05-11",8173.600098
"2010-05-12",8459.709961
"2010-05-13",8508.009766
"2010-05-14",8288.320313
"2010-05-17",8171.700195
"2010-05-18",8320.75
"2010-05-19",8025.27002
"2010-05-20",7774.879883
"2010-05-21",7785.5
"2010-05-24",7763.310059
"2010-05-25",7428.569824
"2010-05-26",7664.569824
"2010-05-27",7949.549805
"2010-05-28",7959.75
"2010-05-31",8023.600098
"2010-06-01",7967.899902
"2010-06-02",7993.540039
"2010-06-03",8129.990234
"2010-06-04",7943.450195
"2010-06-07",7864.919922
"2010-06-08",7744.459961
"2010-06-09",7980.540039
"2010-06-10",8208.089844
"2010-06-11",8238.389648
"2010-06-14",8398.099609
"2010-06-15",8453.730469
"2010-06-16",8414.969727
"2010-06-17",8448.419922
"2010-06-18",8464.299805
"2010-06-21",8509.410156
"2010-06-22",8459.679688
"2010-06-23",8386.469727
"2010-06-24",8233.160156
"2010-06-25",8163.97998
"2010-06-28",8320.929688
"2010-06-29",8009.02002
"2010-06-30",8008.669922
"2010-07-01",7810.819824
"2010-07-02",7829.899902
"2010-07-05",7839.120117
"2010-07-06",8091.319824
"2010-07-07",8104.089844
"2010-07-08",8159.290039
"2010-07-09",8218.419922
"2010-07-12",8243.099609
"2010-07-13",8406.259766
"2010-07-14",8374.55957
"2010-07-15",8283.379883
"2010-07-16",8137.029785
"2010-07-19",8108.609863
"2010-07-20",8037.169922
"2010-07-21",8173.549805
"2010-07-22",8414.379883
"2010-07-23",8500.730469
"2010-07-26",8616.299805
"2010-07-27",8555.650391
"2010-07-28",8495.099609
"2010-07-29",8405.410156
"2010-07-30",8366.580078
"2010-08-02",8578.379883
"2010-08-03",8568.19043
"2010-08-04",8599.889648
"2010-08-05",8653.129883
"2010-08-06",8582.209961
"2010-08-09",8689.120117
"2010-08-10",8553.55957
"2010-08-11",8318.389648
"2010-08-12",8241.780273
"2010-08-13",8267.469727
"2010-08-16",8283.019531
"2010-08-17",8438.280273
"2010-08-18",8430.620117
"2010-08-19",8345.5
"2010-08-20",8189.529785
"2010-08-23",8253.400391
"2010-08-24",8103
"2010-08-25",8006.419922
"2010-08-26",8079.830078
"2010-08-27",8116.379883
"2010-08-30",8108.52002
